article_name,img_url,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt,none
Scottish Ambulance Service,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg/640px-Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,0,1,2,0,0
2018 Commonwealth Games,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Gold_Coast_Convention_and_Exhibition_Centre_%28cropped%29.jpg/640px-Gold_Coast_Convention_and_Exhibition_Centre_%28cropped%29.jpg,1,1,0,1,0
President of the United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Life_expectancy_by_WBG_-United_Arab_Emirates_-leader.png/640px-Life_expectancy_by_WBG_-United_Arab_Emirates_-leader.png,1,1,1,0,0
Clay Belt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Great_Clay_Belt_map.jpg/640px-Great_Clay_Belt_map.jpg,0,2,0,1,0
4-6-2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/231-E-41_a.jpg/640px-231-E-41_a.jpg,0,3,0,0,0
Dennis Hopper,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Dennis_Hopper_1973.jpg/640px-Dennis_Hopper_1973.jpg,0,1,0,2,0
Dani Weatherholt,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Dani_Weatherholt_%2829280829098%29_%28cropped%29.jpg/640px-Dani_Weatherholt_%2829280829098%29_%28cropped%29.jpg,0,0,3,0,0
French submarine Mariotte,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Franse-duikboot-WO-I.jpg/640px-Franse-duikboot-WO-I.jpg,0,0,2,0,0
SMS Königsberg (1905),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Bundesarchiv_Bild_105-DOA3100%2C_Deutsch-Ostafrika%2C_Artillerie.jpg/640px-Bundesarchiv_Bild_105-DOA3100%2C_Deutsch-Ostafrika%2C_Artillerie.jpg,0,1,1,0,0
Common Jasmine Orange,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/National_Academy_of_Chinese_Theatre_Arts_%2820240120161248%29.jpg/640px-National_Academy_of_Chinese_Theatre_Arts_%2820240120161248%29.jpg,0,1,1,0,0
Little Grove,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Shirley_Kellogg.jpg/640px-Shirley_Kellogg.jpg,0,0,2,0,0
Communist terrorism,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/19180902-red_terror-banner.jpg/640px-19180902-red_terror-banner.jpg,1,0,0,1,0
Sean Walker (ice hockey),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Philadelphia_Flyers_at_Seattle_Kraken_-_December_29%2C_2023_-_Eeli_Tolvanen_and_Sean_Walker_%2853432158136%29.jpg/640px-Philadelphia_Flyers_at_Seattle_Kraken_-_December_29%2C_2023_-_Eeli_Tolvanen_and_Sean_Walker_%2853432158136%29.jpg,0,1,1,0,0
Hermann Baumann (musician),https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Hermann_Baumann_Trossingen_1980-19800808-RM-161940.jpg/640px-Hermann_Baumann_Trossingen_1980-19800808-RM-161940.jpg,0,1,0,1,0
Frank Sargeson House,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Frank_Sargeson_House_%28interior_view%29.jpg/640px-Frank_Sargeson_House_%28interior_view%29.jpg,0,0,2,0,0
List of black NHL players,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Quinton_Byfield_12_16-2023.jpg/640px-Quinton_Byfield_12_16-2023.jpg,0,2,0,0,0
Keystone species,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/American_Beaver.jpg/220px-American_Beaver.jpg,0,0,0,2,0
Bill Terry,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Bill_Terry_1933.jpg/640px-Bill_Terry_1933.jpg,0,0,0,2,0
The Three Godfathers (1916 film),https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/The_Three_Godfathers_2.jpg/640px-The_Three_Godfathers_2.jpg,0,0,1,1,0
"Widtsoe, Utah",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Post-office-and-postmistress-widtsoe-utah.jpg/640px-Post-office-and-postmistress-widtsoe-utah.jpg,0,0,0,2,0
Ziyavudin Magomedov,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Medvedev_Magomedov.jpg/640px-Medvedev_Magomedov.jpg,0,0,2,0,0
777 Partners,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Nathan_Konstandopoulos_training_July_2023.jpg/640px-Nathan_Konstandopoulos_training_July_2023.jpg,0,0,1,1,0
Tanaka Farms,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Tanaka_Farms_logo.png/640px-Tanaka_Farms_logo.png,0,0,1,1,0
Justin Berkmann,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Justin_Berkmann_%28around_2009%29.jpg/640px-Justin_Berkmann_%28around_2009%29.jpg,0,0,0,2,0
Immigration to Vietnam,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Vietnamese_immigration_in_a_shipping_container.jpg/640px-Vietnamese_immigration_in_a_shipping_container.jpg,0,0,1,1,0
South Tottenham railway station,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/South_Tottenham_Station_%282%29.jpg/640px-South_Tottenham_Station_%282%29.jpg,1,1,0,0,0
Varka and Golshah,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Gulshah_%28right%29_disguised_as_a_man%2C_watches_as_her_lover_Varqa_%28centre%29_and_his_rival_Rabi_fight_on_horseback.jpg/640px-Gulshah_%28right%29_disguised_as_a_man%2C_watches_as_her_lover_Varqa_%28centre%29_and_his_rival_Rabi_fight_on_horseback.jpg,0,1,0,1,0
Transdev,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Transdev_Volvo.jpg/640px-Transdev_Volvo.jpg,1,0,0,1,0
Nutopia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/John_Lennon_and_Yoko_Ono%2C_gtfy.02293.jpg/640px-John_Lennon_and_Yoko_Ono%2C_gtfy.02293.jpg,0,1,0,0,0
Wolfram von Richthofen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Field-marshal_Erhard_Milch.jpg/220px-Field-marshal_Erhard_Milch.jpg,1,1,1,0,0
Auburn Speedster,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/1929_Auburn_8-120_Boattail_Speedster_svl_%28cropped%29.jpg/220px-1929_Auburn_8-120_Boattail_Speedster_svl_%28cropped%29.jpg,0,1,0,2,0
Natus Vincere,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/NaVi-WCG.jpg/220px-NaVi-WCG.jpg,0,3,0,0,0
Wayne Bennett (rugby league),https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Wayne_Bennett_rugby_league_coach.jpg/200px-Wayne_Bennett_rugby_league_coach.jpg,0,0,1,2,0
Magdeburg-Stendal University of Applied Sciences,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Hochschule_Magdeburg.jpg/220px-Hochschule_Magdeburg.jpg,0,0,2,1,0
Pantai Remis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Jalan_Changkat_Jering-Seri_Manjung-Kampung_Koh_%28Malaysia_Federal_Highway_60%29%2C_Pantai_Remis_20231222_141340.jpg/220px-Jalan_Changkat_Jering-Seri_Manjung-Kampung_Koh_%28Malaysia_Federal_Highway_60%29%2C_Pantai_Remis_20231222_141340.jpg,0,0,3,0,0
History of religion,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Medieval-World-Religions.png/220px-Medieval-World-Religions.png,0,1,0,1,1
Shiant Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Shiant_Island.png/220px-Shiant_Island.png,0,0,0,3,0
Carl Hagelin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/The_Big_Chill_%285253950605%29_%281%29.jpg/220px-The_Big_Chill_%285253950605%29_%281%29.jpg,0,0,3,0,0
Nicholas Hoult,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/NicholasHoultTolkien2.jpg/170px-NicholasHoultTolkien2.jpg,0,2,0,1,0
Y dwarf,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Atmospheric_methane_of_brown_dwarfs_W1935_and_W2220_%28NIRSpec%29_%28browndwarfs-aurora%29.jpg/220px-Atmospheric_methane_of_brown_dwarfs_W1935_and_W2220_%28NIRSpec%29_%28browndwarfs-aurora%29.jpg,0,0,1,1,1
"Huntington Beach, California",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Huntington_Harbor_CA_Aerial_photo_Don_Ramey_Logan.jpg/220px-Huntington_Harbor_CA_Aerial_photo_Don_Ramey_Logan.jpg,0,1,0,2,0
Area codes 716 and 624,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/New_York_State_and_surrounding_areas_Area_codes_Jan_2024.png/220px-New_York_State_and_surrounding_areas_Area_codes_Jan_2024.png,0,2,1,0,0
Ethology,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Grebe_Courtship_%28detail%29.jpg/220px-Grebe_Courtship_%28detail%29.jpg,2,0,1,0,0
Ukrainians in Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Khristenko_%28cropped%29.jpg/100px-Khristenko_%28cropped%29.jpg,1,0,1,0,1
Chandelier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Royal_Pavilion%2C_Brighton_%28interior%29_04_trimmed.jpg/170px-Royal_Pavilion%2C_Brighton_%28interior%29_04_trimmed.jpg,1,1,1,0,0
List of Sony Walkman products,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/2011_Sony_WM_MP3_NWZ-B163FR_%28cropped%29.jpg/180px-2011_Sony_WM_MP3_NWZ-B163FR_%28cropped%29.jpg,1,1,0,1,0
Mannargudi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Mannargudi_Mallinatha_Swamy_Temple.png/200px-Mannargudi_Mallinatha_Swamy_Temple.png,0,2,0,1,0
Turkish War of Independence,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/The_Abilene_Daily_Reporter_%28Abilene%2C_Tex.%29%2C_Vol._24%2C_No._133%2C_Ed._1_Friday%2C_October_13%2C_1922_-_DPLA_-_4f8cde42a03b2ac9f5ff0aa395b4babf_%28page_1%29_%28cropped%29.jpg/220px-The_Abilene_Daily_Reporter_%28Abilene%2C_Tex.%29%2C_Vol._24%2C_No._133%2C_Ed._1_Friday%2C_October_13%2C_1922_-_DPLA_-_4f8cde42a03b2ac9f5ff0aa395b4babf_%28page_1%29_%28cropped%29.jpg,0,0,1,2,0
Qalaat al-Madiq,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Caravanserai_of_Qalat_el-Mudiq_06.jpg/280px-Caravanserai_of_Qalat_el-Mudiq_06.jpg,0,1,1,1,0
Freehold Secondary,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Freight_train_on_the_Freehold_Secondary_in_Monroe_Township.jpg/150px-Freight_train_on_the_Freehold_Secondary_in_Monroe_Township.jpg,0,0,2,0,0
Odia University,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Odia_University_Campus.jpg/220px-Odia_University_Campus.jpg,0,0,0,2,0
Adelaide Oval,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Bradshaw_Bell.png/220px-Bradshaw_Bell.png,0,0,1,1,0
Muizenberg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Muizenbergshul.jpg/220px-Muizenbergshul.jpg,1,0,0,1,0
Arthur Fulton (sport shooter),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Arthur_Fulton_1912_Kings_Prize.jpg/220px-Arthur_Fulton_1912_Kings_Prize.jpg,0,0,1,4,0
Fingle Bridge,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Fingle_Bridge%2C_Devon_-_William_Widgery_-_45-1934.jpg/220px-Fingle_Bridge%2C_Devon_-_William_Widgery_-_45-1934.jpg,0,0,0,2,0
Margrethe II,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Dmitry_Medvedev_in_Denmark_27_April_2010-4.jpeg/220px-Dmitry_Medvedev_in_Denmark_27_April_2010-4.jpeg,0,0,1,1,0
West Coast Memorial to the Missing of World War II,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/West_Coast_Memorial_to_the_Missing_of_World_War_II_-_January_2024_%288735%29.jpg/220px-West_Coast_Memorial_to_the_Missing_of_World_War_II_-_January_2024_%288735%29.jpg,0,0,0,2,0
Bárbara Domingos,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2023_World_Cup_Sofia_Ribbon_Podium.jpg/220px-2023_World_Cup_Sofia_Ribbon_Podium.jpg,0,0,2,0,0
EToll,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Message_for_Regular_Toll_Users_on_the_M9_-_geograph.org.uk_-_6093135.jpg/220px-Message_for_Regular_Toll_Users_on_the_M9_-_geograph.org.uk_-_6093135.jpg,0,1,0,1,0
Elena Vesnina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Elena_Vesnina_2011_French_Open_Mixed_Doubles_%28cropped%29.jpg/220px-Elena_Vesnina_2011_French_Open_Mixed_Doubles_%28cropped%29.jpg,1,0,1,0,0
Shirts versus skins,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Shirts_and_skins.jpg/220px-Shirts_and_skins.jpg,1,1,0,0,0
Xiongnu,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Reconstruction_of_a_Xiongnu_chief_warrior%2C_2nd_century_BCE-1st_century_CE.jpg/170px-Reconstruction_of_a_Xiongnu_chief_warrior%2C_2nd_century_BCE-1st_century_CE.jpg,0,1,0,1,0
Ivan Tasovac,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Ivan_Tasovac_2023_stamp_of_Serbia.jpg/220px-Ivan_Tasovac_2023_stamp_of_Serbia.jpg,0,1,0,1,0
Jean Forbes-Robertson,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Jean_Forbes-Robertson_%28photograph_by_Sasha%29.png/220px-Jean_Forbes-Robertson_%28photograph_by_Sasha%29.png,0,1,0,1,0
Chūichi Nagumo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Machida_Shinichiro_With_Nagumo_Chuichi_%28cropped%29.png/220px-Machida_Shinichiro_With_Nagumo_Chuichi_%28cropped%29.png,0,1,0,1,0
The Great Gildersleeve,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Great_Gildersleeve_1.jpg/200px-Great_Gildersleeve_1.jpg,0,1,0,1,0
Jinadattasuri,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Jain_Universal_History_Diorama_in_Jain_Museum_of_Madhuban_35.jpg/220px-Jain_Universal_History_Diorama_in_Jain_Museum_of_Madhuban_35.jpg,1,0,0,1,0
Cibo (artist),https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Tortellini_Bolognesi.jpg/220px-Tortellini_Bolognesi.jpg,0,2,0,0,0
Schutzstaffel,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/HimmlerAndHeydrich_1938.jpeg/220px-HimmlerAndHeydrich_1938.jpeg,0,1,0,1,0
Mexy,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/54_MEXY.jpg/220px-54_MEXY.jpg,0,0,0,2,1
Names of the British Isles,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Stevenson_1911_atlasofportolanc00magg_0024_XII_Britain_and_Ireland.jpg/220px-Stevenson_1911_atlasofportolanc00magg_0024_XII_Britain_and_Ireland.jpg,0,1,1,0,1
Indiana Pacers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Tyrese_Haliburton_%2851923778880%29_%28cropped%29.jpg/220px-Tyrese_Haliburton_%2851923778880%29_%28cropped%29.jpg,0,0,1,1,1
Houssem Aouar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Djamel_Belmadi_avec_Houssem_Aouar_2024.jpg/220px-Djamel_Belmadi_avec_Houssem_Aouar_2024.jpg,0,0,1,0,2
2024 Sundance Film Festival,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Egyptian_Theatre_%282024%29-L1004366.jpg/220px-Egyptian_Theatre_%282024%29-L1004366.jpg,0,1,0,1,1
Waharoa (Aotea Square sculpture),https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auckland_3_%2831216881474%29_%28cropped%29.jpg/220px-Auckland_3_%2831216881474%29_%28cropped%29.jpg,0,0,1,1,1
Gasoline,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/USRegularGasolinePricesUpto2019.png/220px-USRegularGasolinePricesUpto2019.png,0,0,1,0,2
Filipino cuisine,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Tapsilog_in_saudi_arabia.jpg/220px-Tapsilog_in_saudi_arabia.jpg,1,0,0,1,1
Janneke Hille Ris Lambers,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/ETH-BIB-Hille_Ris_Lambers%2C_Janneke_%281972-%29-Portr_18305.jpg/220px-ETH-BIB-Hille_Ris_Lambers%2C_Janneke_%281972-%29-Portr_18305.jpg,0,1,0,0,2
Warsaw metropolitan area,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/GDP_distribution_in_Warsaw_metropolitan_area.jpg/220px-GDP_distribution_in_Warsaw_metropolitan_area.jpg,0,0,1,2,0
"St. Casimir Parish, South Bend",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Saint_Casimir_Loft.jpg/220px-Saint_Casimir_Loft.jpg,0,0,1,2,0
Helensville,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Helensville_and_Kaipara_River_from_the_air_%281927-1937%29_%28cropped%29.jpg/220px-Helensville_and_Kaipara_River_from_the_air_%281927-1937%29_%28cropped%29.jpg,0,0,0,3,0
Fortaleza,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Vista_do_Aeroporto_Internacional_de_Fortaleza_Pinto_Martins.jpg/220px-Vista_do_Aeroporto_Internacional_de_Fortaleza_Pinto_Martins.jpg,0,1,1,1,0
Royal Flying Doctor Service,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Dowling_007.jpg/220px-Dowling_007.jpg,0,0,0,2,1
Fairfax County Public Schools,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/McLean_High_School_entrance_McLean_VA_2023-12-29_14-13-56.jpg/220px-McLean_High_School_entrance_McLean_VA_2023-12-29_14-13-56.jpg,0,0,0,2,1
"Nepabunna, South Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Virgin_Australia_Boeing_737_VH-YIE_in_flight_2023_%2815%29.jpg/220px-Virgin_Australia_Boeing_737_VH-YIE_in_flight_2023_%2815%29.jpg,0,0,0,2,1
Pontiac Fiero,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/2023_Downtown_West_Allis_Classic_Car_Show_02_%281987_Pontiac_Fiero_SE%29.jpg/220px-2023_Downtown_West_Allis_Classic_Car_Show_02_%281987_Pontiac_Fiero_SE%29.jpg,0,0,1,1,1
Short-beaked echidna,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Short-beaked_echidna_%28Tachyglossus_aculeatus_setosus%29_Scottsdale.jpg/220px-Short-beaked_echidna_%28Tachyglossus_aculeatus_setosus%29_Scottsdale.jpg,0,0,1,1,1
Flinders Street railway station,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flinders_Street_Station_Ticket_Office_1914-1918.jpg/220px-Flinders_Street_Station_Ticket_Office_1914-1918.jpg,0,0,1,1,1
Pacific Far East Line,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/SS_Mariposa_ship_cancellation.jpg/220px-SS_Mariposa_ship_cancellation.jpg,0,0,2,0,1
Budd SPV-2000,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Budd_SPV2000_Shells_Wilmington_DE.jpg/220px-Budd_SPV2000_Shells_Wilmington_DE.jpg,1,0,1,1,0
Last Friday Night (T.G.I.F.),https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Michael_Jackson_in_1988_%28cropped%29.jpg/220px-Michael_Jackson_in_1988_%28cropped%29.jpg,0,0,0,3,0
Manila Railway 70 class,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Manila_Railway_70_class_No._94.jpg/220px-Manila_Railway_70_class_No._94.jpg,0,0,2,1,0
WestJet,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/09-FEB-2022_-_WS1_YYC-LGW_%28B787-9_-_C-GKKN%29_%2803%29.jpg/220px-09-FEB-2022_-_WS1_YYC-LGW_%28B787-9_-_C-GKKN%29_%2803%29.jpg,1,0,1,1,0
Level Crossing Removal Project,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Melb_Union_Station.jpg/220px-Melb_Union_Station.jpg,2,0,0,1,0
Couesnophone,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Goofus_couesnophone_%28rotated%29.jpg/170px-Goofus_couesnophone_%28rotated%29.jpg,0,0,0,3,0
Mallobathra memotuina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Fig_3_MA_I437922_TePapa_Plate-LXI-A-supplement_full_%28cropped%29.jpg/220px-Fig_3_MA_I437922_TePapa_Plate-LXI-A-supplement_full_%28cropped%29.jpg,1,0,0,2,0
Bingo Smith,https://upload.wikimedia.org/wikipedia/commons/5/5d/Cleveland_Cavaliers_Retired_Jerseys_%28cropped%29.jpg,0,1,2,0,0
Eugene H. Lehman,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Eugene_H._Lehman.jpg/220px-Eugene_H._Lehman.jpg,0,2,1,0,0
Garfield,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Jon_-_1976-01-08.png/300px-Jon_-_1976-01-08.png,0,0,0,1,2
Miller Moss (American football),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Miller_Moss_%288184719%29_%28cropped%29.jpg/170px-Miller_Moss_%288184719%29_%28cropped%29.jpg,1,1,0,1,0
Louis Rwagasore,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Mwambutsa_1962.jpg/185px-Mwambutsa_1962.jpg,0,2,0,1,0
Norwegian campaign,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Bundesarchiv_Bild_183-2006-0529-501%2C_Nikolaus_v._Falkenhorst.jpg/130px-Bundesarchiv_Bild_183-2006-0529-501%2C_Nikolaus_v._Falkenhorst.jpg,2,1,0,0,0
Martin Jones (ice hockey),https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Martin_Jones_%2850516648038%29.jpg/220px-Martin_Jones_%2850516648038%29.jpg,1,1,1,0,0
Papua New Guinea,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Australian_infantry_and_armour_at_Buna_%28AWM_014008%29.jpg/220px-Australian_infantry_and_armour_at_Buna_%28AWM_014008%29.jpg,0,3,0,0,0
List of munitions used by the Egyptian Air Force,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Lockheed_Martin_Longbow_Hellfire.jpg/220px-Lockheed_Martin_Longbow_Hellfire.jpg,0,2,0,1,0
St Gobnait&#39;s well,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Statue_of_St_Gobnait_1_%28cropped%29.jpg/180px-Statue_of_St_Gobnait_1_%28cropped%29.jpg,0,2,0,1,0
Handloading,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Reload_Cartridge_Example_3_new.jpg/220px-Reload_Cartridge_Example_3_new.jpg,1,2,0,0,0
Candelaria Rodríguez,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/FDMC_Second_Congress.jpg/220px-FDMC_Second_Congress.jpg,0,2,0,1,0
Atlas E/F,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/ATLAS_F_SEASAT_A_LIFTOFF_-_NARA_-_17420347_%28cropped%29.jpg/85px-ATLAS_F_SEASAT_A_LIFTOFF_-_NARA_-_17420347_%28cropped%29.jpg,0,1,0,2,0
History of newspapers in Korea,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/The_Korea_Daily_News_%28May_18%2C_1907_page_1%29.jpg/143px-The_Korea_Daily_News_%28May_18%2C_1907_page_1%29.jpg,0,0,0,1,2
Owen Tippett,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Philadelphia_Flyers_at_Seattle_Kraken_-_December_29%2C_2023_-_Owen_Tippett_and_Jared_McCann_%2853432143733%29.jpg/220px-Philadelphia_Flyers_at_Seattle_Kraken_-_December_29%2C_2023_-_Owen_Tippett_and_Jared_McCann_%2853432143733%29.jpg,0,1,0,0,2
"Her Majesty&#39;s Gaol and Labour Prison, Alice Springs",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Dowling_023.jpg/220px-Dowling_023.jpg,0,1,0,0,2
Russian Orthodox Ecclesiastical Mission in Jerusalem,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Russian_Ecclesiastical_Mission_in_Jerusalem.jpg/220px-Russian_Ecclesiastical_Mission_in_Jerusalem.jpg,0,0,0,1,2
