id,img,alttext,quality,imaginability,relevance,plausibility
2,Maxwell_Epstein_Clinton_1993_2.jpg,yes_crt_yes_cnxt,5,5,3,5
2,1991_Grantland_Rice_Trophy.jpg,yes_crt_yes_cnxt,3,3,2,3
2,1991_Grantland_Rice_Trophy.jpg,other_alttext,5,5,4,5
2,Tanaka_Farms_logo.png,yes_crt_yes_cnxt,3,4,3,3
2,Tanaka_Farms_logo.png,other_alttext,2,3,2,2
3,Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,other_alttext,3,3,4,5
3,Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,yes_crt_yes_cnxt,5,5,5,5
3,"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",other_alttext,5,5,5,5
3,"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",yes_crt_yes_cnxt,4,5,4,4
3,"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",yes_crt_yes_cnxt,4,3,4,4
3,"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",other_alttext,5,4,4,4
3,Maxwell_Epstein_Clinton_1993_2.jpg,other_alttext,3,5,2,3
3,Maxwell_Epstein_Clinton_1993_2.jpg,yes_crt_yes_cnxt,5,5,5,5
3,1991_Grantland_Rice_Trophy.jpg,yes_crt_yes_cnxt,3,3,3,3
3,1991_Grantland_Rice_Trophy.jpg,other_alttext,4,5,5,5
3,Tanaka_Farms_logo.png,yes_crt_yes_cnxt,5,5,5,5
3,Tanaka_Farms_logo.png,other_alttext,5,4,3,3
4,Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,other_alttext,5,5,4,4
4,Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,yes_crt_yes_cnxt,5,4,4,4
4,"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",other_alttext,5,5,4,4
4,"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",yes_crt_yes_cnxt,5,5,4,4
4,"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",yes_crt_yes_cnxt,5,5,5,5
4,"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",other_alttext,5,5,5,5
4,Maxwell_Epstein_Clinton_1993_2.jpg,other_alttext,5,5,5,5
4,Maxwell_Epstein_Clinton_1993_2.jpg,yes_crt_yes_cnxt,5,5,5,5
4,1991_Grantland_Rice_Trophy.jpg,yes_crt_yes_cnxt,5,5,4,4
4,1991_Grantland_Rice_Trophy.jpg,other_alttext,5,5,5,5
4,Tanaka_Farms_logo.png,yes_crt_yes_cnxt,5,5,5,5
4,Tanaka_Farms_logo.png,other_alttext,5,5,5,5
5,Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,other_alttext,4,5,4,5
5,Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,yes_crt_yes_cnxt,3,3,4,4
5,"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",other_alttext,5,5,5,5
5,"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",yes_crt_yes_cnxt,3,4,4,4
5,"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",yes_crt_yes_cnxt,4,5,5,5
5,"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",other_alttext,5,4,5,5
5,Maxwell_Epstein_Clinton_1993_2.jpg,other_alttext,4,4,2,5
5,Maxwell_Epstein_Clinton_1993_2.jpg,yes_crt_yes_cnxt,5,5,5,5
5,1991_Grantland_Rice_Trophy.jpg,yes_crt_yes_cnxt,5,4,4,5
5,1991_Grantland_Rice_Trophy.jpg,other_alttext,5,5,5,5
5,Tanaka_Farms_logo.png,yes_crt_yes_cnxt,5,2,4,5
5,Tanaka_Farms_logo.png,other_alttext,2,2,4,5
6,Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,other_alttext,5,5,5,5
6,Scottish_Ambulance_Service_Mercedes-Benz_Sprinter_at_Sumburgh_Airport.jpg,yes_crt_yes_cnxt,5,5,5,5
6,"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",other_alttext,5,5,4,5
6,"Gulshah_(right)_disguised_as_a_man,_watches_as_her_lover_Varqa_(centre)_and_his_rival_Rabi_fight_on_horseback.jpg",yes_crt_yes_cnxt,5,5,5,5
6,"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",yes_crt_yes_cnxt,5,5,5,5
6,"The_village_of_Warkworth,_on_the_River_Mahurangi_containing_89_village_allotments_(1864)_(cropped).jpg",other_alttext,5,5,5,5
6,Maxwell_Epstein_Clinton_1993_2.jpg,other_alttext,5,4,2,5
6,Maxwell_Epstein_Clinton_1993_2.jpg,yes_crt_yes_cnxt,5,4,5,5
6,1991_Grantland_Rice_Trophy.jpg,yes_crt_yes_cnxt,5,5,5,5
6,1991_Grantland_Rice_Trophy.jpg,other_alttext,5,5,4,5
6,Tanaka_Farms_logo.png,yes_crt_yes_cnxt,5,4,5,5
6,Tanaka_Farms_logo.png,other_alttext,5,4,5,5
