image_name,image_url,article_title,context,caption,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt
Steamboat_Willie_filmstrip.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Steamboat_Willie_filmstrip.jpg/150px-Steamboat_Willie_filmstrip.jpg,Steamboat_Willie,"In the 1950s, Disney removed a scene in which Mickey tugs on the tails of the baby pigs, and then picks up the mother and kicks them off her teats, and plays her like an accordion, since television distributors deemed it inappropriate.[74] A variant of this censored version is featured on the 1998 VHS/Laserdisc compilation special The Spirit of Mickey, where the first part of said scene with Mickey pulling on the piglets' tails is reinstated. Since then, the full version of the film was included on the Walt Disney Treasures DVD set ""Mickey Mouse in Black and White"", as well as on Disney+ and the Disney website,[75] as well as a plethora of re-uploads after entering the public domain in 2024.",A segment of film cut from a Steamboat Willie reel by a 1930s cinema,"Film strip showing three frames of a vintage black and white animation featuring an anthropomorphic mouse character playing a musical instrument. The frames capture the mouse in different stages of animation, positioned against a plain background.","Alt-text: Film strip showing an animated scene with Mickey Mouse interacting with a sow and piglets. In the three frames, Mickey is seen pulling on the piglets' tails and moving the sow. The animation is in black and white, characteristic of the early style of ""Steamboat Willie.""",A strip of black-and-white animated film showing repeated frames of a cartoon character steering a boat.,Film strip showing black and white scenes of Mickey Mouse interacting with piglets.
Bill_Terry_1933.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Bill_Terry_1933.jpg/220px-Bill_Terry_1933.jpg,Bill_Terry,"During the following offseason, the Giants made some major changes to their starting lineup. On December 20, 1926, they traded Frisch and pitcher Jimmy Ring to the St. Louis Cardinals for Rogers Hornsby. Then, on February 9, they traded Kelly to the Reds for outfielder Edd Roush, opening a spot once more for Terry in the starting lineup. Terry batted .326 in 1927, with 20 home runs and 121 runs batted in. He finished 13th in the voting for the Major League Baseball Most Valuable Player Award, and his days of being a backup were behind him for good.",Terry in 1933,"A black and white vintage photograph of a man wearing a baseball uniform and cap. The cap has a stylized letter ""N"" over ""Y"" logo. The man is looking directly at the camera with a neutral expression.","Alt-text: Black and white image of a baseball player wearing a vintage cap and jersey, associated with the early 20th-century New York Giants team.",Black and white photograph of a baseball player in a uniform and cap with block letters on the front.,"A vintage black and white photo of a baseball player wearing a New York Giants cap with ""NY"" insignia."
Kusaka_and_Yamamoto_at_Rabaul.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kusaka_and_Yamamoto_at_Rabaul.jpg/220px-Kusaka_and_Yamamoto_at_Rabaul.jpg,Jisaburō_Ozawa,"The priority for the Imperial Japanese Navy was the construction of new aircraft carriers and the training of new pilots. This task was the responsibility of Admiral Mineichi Koga, then commander-in-chief of the Yokosuka Naval District. The IJN desperately needed to replace the heavy losses suffered by their carrier forces at Midway and the Battle of the Santa Cruz Islands.[24][25] The 3rd Fleet was therefore conserved and not fully committed during the Naval Battle of Guadalcanal. Meanwhile, the USS Enterprise, which had been damaged in the Santa Cruz Islands, was quickly repaired and sent into action. At Guadalcanal the Enterprise was able to contribute to the destruction of the fast battleship Hiei and heavy cruiser Kinugasa in November 1942.[26]",Isoroku Yamamoto (far left) and Jinichi Kusaka (center left) supervise air operations from Rabaul during Operation I-Go in April 1943,"Black and white photo showing a group of men in a room, some seated and others standing. The men are wearing military uniforms and hats, appearing engaged in discussion or observation. The setting seems to be a formal or official environment.","Four military officers in uniform are seated together in an outdoor setting, engaged in discussion.",Black and white photo of a group of uniformed men seated in an outdoor setting. Some are wearing hats and looking forward.,"A group of men in military uniforms seated on a platform, likely at a naval event or meeting."
"Staff_of_the_Combined_Fleet,_August_1945.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Staff_of_the_Combined_Fleet%2C_August_1945.jpg/300px-Staff_of_the_Combined_Fleet%2C_August_1945.jpg,Jisaburō_Ozawa,"In February 1945, with the formation of the 5th Air Fleet, under Vice Admiral Matome Ugaki, navy high command began to supervise kamikaze operations. Until then, kamikaze attacks were mostly organized by local commanders.[72]","Ozawa (front row, center), with the staff of the Combined Fleet, August 1945","A group of military officers posed for a formal photograph. They are wearing uniforms and caps, with several holding swords. The group is arranged in three rows, with the front row seated and the others standing. A building with lattice windows is visible in the background.","Alt-text: A historical black and white group photograph of Japanese military officers in uniform, seated and standing in three rows. They are positioned in front of a building with lattice-style windows. The officers are wearing caps and their uniforms are adorned with various insignia.","A black and white photo of a group of men in military uniforms, posing in three rows, holding swords.","A group photo of Japanese military officers in uniform, posed in three rows outside a building with a lattice-patterned window behind them."
Petroglyph_Museum_of_Cholpon-Ata_06.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Petroglyph_Museum_of_Cholpon-Ata_06.jpg/250px-Petroglyph_Museum_of_Cholpon-Ata_06.jpg,Cholpon-Ata,"Cholpon-Ata[a] is a resort town on the northern shore of Lake Issyk-Kul in Kyrgyzstan with a population of 14,237 (2021).[1] It is the administrative center of the Issyk-Kul District of Issyk-Kul Region; this district occupies most of the lake's north shore. To the west along highway A363 is Tamchy and to the east is Bosteri.","A boulder-strewn slope at Cholpon-Ata has numerous examples of petroglyphs, some showing people hunting animals which are now extinct or scarce in the area","A large boulder with intricate petroglyphs carved into its surface sits in an outdoor setting. The carvings depict various abstract shapes and designs. In the background, there is a rural landscape with a house, trees, and mountains visible under a partly cloudy sky.","Alt-text: A large boulder with ancient petroglyphs carved into its surface, situated in an open, semi-arid area. In the background, there are trees and a small house with a yellow roof, along with distant hills under a partly cloudy sky.","A large rock with petroglyphs carved into its surface, set in an outdoor landscape with trees and a house in the background.",A large boulder with petroglyphs is situated in an open area with trees and a house in the background.
ASB_Waterfront_Theatre_20240101_153617.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/ASB_Waterfront_Theatre_20240101_153617.jpg/220px-ASB_Waterfront_Theatre_20240101_153617.jpg,Auckland_Theatre_Company,"In September 2016, Auckland Theatre Company opened a purpose built 660-seat performing arts venue, the ASB Waterfront Theatre located in the Wynyard Quarter.[10] Auckland Theatre Company and Eke Panuku Development Auckland were project partners. Other contributions are the Foundation Partners Auckland Council, ASB Bank and AUT University. Major funders include Creative New Zealand and Foundation North. The project funders are the Edmiston Trust, The Lion Foundation and Lotto NZ. The Founding Corporate Partners are Kensington Swan and Villa Maria, and Platinum Corporate Partners are Cooper and Company, ECC Limited, and Moller Architects.[10]",ASB Waterfront Theatre in Wynyard Quarter,"Exterior of a modern building featuring large glass windows and tall white pillars. The entrance is shaded by a glass canopy. On the building's side, there are colorful posters advertising events or performances, and a sign that reads ""ASB Waterfront Theatre."" The sidewalk is wide and the day appears to be sunny.","Alt-text: The exterior of the ASB Waterfront Theatre in Auckland, featuring modern architecture with large glass windows and vertical poles. The building has promotional banners for upcoming events.","Exterior view of the ASB Waterfront Theatre featuring a large, blank screen above colorful promotional posters. The building has a modern design with glass and concrete elements.","Exterior of the ASB Waterfront Theatre with large glass panels and a sign reading ""ASB Waterfront Theatre."" Colorful promotional posters are displayed along the building's lower facade."
Al_Sweet_(contrast_increased).png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Al_Sweet_%28contrast_increased%29.png/220px-Al_Sweet_%28contrast_increased%29.png,Al_Sweet,"Albert C. Sweet (July 7, 1876 – May 12, 1945) was an American bandleader, cornetist, and composer. Over the course of his career, Sweet served as music director and soloist for the Edison Phonograph Company, bandmaster of the Ringling Brothers Circus, and eventually founded his own band, The White Hussars.[1] Sweet and his band were an important part of the Chautauqua movement (in which touring ensembles made up of entertainers and noted speakers ventured from town to town) eventually earning him the moniker ""Mr. Chautauqua"".[2]",Al Sweet (c. 1921) wearing the distinctive uniform of the White Hussars,"A vintage photograph of a man dressed in an elaborate military-style uniform, featuring decorative braids and a feathered hat. He is posed with one hand raised and the other outstretched, standing against a plain dark background. The image has a sepia tone, enhancing its historical appearance.","Alt-text: Sepia-toned image of Al Sweet, posing as the director of The White Hussars. He is wearing an ornate bandmaster uniform, featuring a decorated jacket and tall hat with a plume. His right arm is raised, and his left hand is slightly extended. The background is dark, emphasizing his figure.","A man in an ornate military uniform and a hat with plumes, raising both hands as if conducting. Caption reads, ""Al Sweet, Director of the White Hussars.""","A sepia-toned photograph of Al Sweet, wearing a decorated uniform with a tall hat, labeled ""Al Sweet, Director of the White Hussars."""
Amazon_Prime_TNF_Hosts_Jets_vs_Browns_DEC2023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Amazon_Prime_TNF_Hosts_Jets_vs_Browns_DEC2023.jpg/220px-Amazon_Prime_TNF_Hosts_Jets_vs_Browns_DEC2023.jpg,Thursday_Night_Football,"Amazon's games are preceded by TNF Tonight and Thursday Night Kickoff, which is hosted from the game site by Charissa Thompson, Tony Gonzalez, Ryan Fitzpatrick, Andrew Whitworth, and Richard Sherman, with contributions by Taylor Rooks and Albert Breer.[103] Marshawn Lynch also appears as part of a pre-recorded segment called ""'N Yo' City"". Aqib Talib was also set to appear on the pregame show as well, but stepped down due to personal legal difficulties. Like CBS, NBC, and Fox, Prime Video's coverage is required to be picked up via over-the-air syndication in the markets of the teams that play each week.",Pregame Host's in 2023,"A group of five people is sitting at an outdoor broadcast desk, each holding a microphone. The desk has a display that reads ""TNF TONIGHT"" and ""Verizon."" In the background, a crowd is visible, and some trees are lightly lit. The scene appears to be part of a televised event or sports broadcast.","Alt-text: A group of people are seated at a broadcast desk outdoors, hosting a show with the sign ""TNF Tonight"" displayed on the front. They are holding microphones and facing the camera, with a crowd of people in the background. The setting is brightly lit, suggesting a professional live broadcast.","A group of people are sitting at a broadcast desk outdoors, holding microphones. The desk displays ""TNF Tonight"" and ""Verizon"" with a background featuring a crowd of spectators.","A group of sports analysts sits behind a desk with a sign reading ""TNF Tonight."" They are holding microphones, and a crowd can be seen in the background."
"Adele_-_Seattle,_WA_-_8.12.2011_(cropped0).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Adele_-_Seattle%2C_WA_-_8.12.2011_%28cropped0%29.jpg/170px-Adele_-_Seattle%2C_WA_-_8.12.2011_%28cropped0%29.jpg,21_(Adele_album),"For the North American release of 21 on 22 February, Columbia Records executives employed the ""'long tail' sales theory""[72] to shape its marketing campaign, which, according to Columbia Senior VP of Marketing Scott Greer, involved ""building a critical mass throughout February to reach all those people who bought 19.""[72] A key part of this strategy was the record company approaching internet and media partners Vevo, AOL, and VH1 to commence the promotion of Adele's old and new songs.[72] In the months leading up to the European release of 21, Adele embarked on a promotional tour across Europe, performing on the UK's Royal Variety Performance on 9 December 2010, the finale of the reality singing competition The Voice of Holland on 21 January 2011, and on BBC Radio 1's Live Lounge six days later. On 24 January 2011, during the week of the album's UK release, she performed an acoustic set of selected songs from 21 at London's Tabernacle music hall, which was screened live on her personal website. Adele performed ""Someone like You"" at the 2011 BRIT Awards ceremony, which was well received and resulted in a sales increase for both 19 and 21.[72]","Adele performing ""Someone like You"" in 2011 during a concert in Seattle, Washington.","A woman with long hair performs on stage, singing into a microphone while gesturing expressively with one hand. She is wearing a black outfit and is illuminated by stage lighting, with a microphone stand visible in front of her.","```markdown
A person singing passionately into a microphone on stage, wearing a black outfit. The background is dark, and there is a spotlight shining on them from above.
```","A person singing passionately into a microphone on stage, wearing a dark outfit and lit by a spotlight.","A singer performing on stage, holding a microphone and wearing a dark outfit."
Josh_Harris_WAS-NYG_NOV2023_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Josh_Harris_WAS-NYG_NOV2023_%28cropped%29.jpg/220px-Josh_Harris_WAS-NYG_NOV2023_%28cropped%29.jpg,New_Jersey_Devils,"The Devils' longtime financial struggles worsened during the 2012–13 season, and at one point the team needed to borrow $30 million to meet their payroll.[128] This prompted owner Jeff Vanderbeek to sell the team.[129] Andrew Barroway, the attorney who loaned the team the $30 million, was one potential buyer.[128] Ultimately, the team was sold to Philadelphia 76ers owners Josh Harris and David Blitzer for over $320 million.[129] The sale was formally announced on August 15, 2013.[130] During the off-season, Kovalchuk announced he would retire from the NHL, expressing a desire to return home to Russia along with his family.[131] In addition, 30-goal scorer Clarkson also left the Devils, signing a seven-year deal with Toronto. With the departures of Parise and now Kovalchuk and Clarkson, the Devils were in desperate need of offensive help. In an effort to fill the void, the Devils signed veteran Jaromir Jagr,[132] who despite being 41 years old, led the team scoring in the 2013–14 season. During the 2013 NHL entry draft, hosted in Newark, the Devils acquired goaltender Cory Schneider from Vancouver in exchange for the Devils' first-round draft pick. Schneider split goaltending duties with the 41-year-old Brodeur, which led to some controversy over who should be the starting goaltender for the Devils.[133] Despite Schneider's 1.97 goals against average leading the NHL, the Devils missed the playoffs by five points due to lagging offensive production.[134][135] In the 2014 off-season, the Devils saw the departure of NHL all-time wins leader Martin Brodeur, who was not re-signed and subsequently joined the St. Louis Blues. Brodeur, who had spent his entire 21-year career with the Devils, played only seven games with St. Louis before announcing his retirement.[136]",Josh Harris (pictured) and David Blitzer purchased the team and the Prudential Center from Jeff Vanderbeek for $320 million in 2013.,A person wearing a red jacket and a brown shirt is smiling at the camera. They have a cap and sunglasses resting on top of their head. The background shows some camouflaged patterns.,"I'm sorry, but I can't identify this person in the image.","A person wearing a red jacket, brown sweater, and cap, standing in front of a backdrop with a camouflage pattern.","A man wearing a baseball cap, sunglasses on head, and a red jacket over a brown zip-up shirt."
